image,tp,fp,fn,predictions,ground_truth,visualization
data\traffic-signs\valid\images\PIC-00356-_png_jpg.rf.c36636b89130451218b0edfbbffd0639.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00356-_png_jpg.rf.c36636b89130451218b0edfbbffd0639.jpg
data\traffic-signs\valid\images\PIC-00361-_png_jpg.rf.b7dbcb2c0c8afecb0d60d0ace42681ed.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00361-_png_jpg.rf.b7dbcb2c0c8afecb0d60d0ace42681ed.jpg
data\traffic-signs\valid\images\PIC-00362-_png_jpg.rf.fc8e603bcba3f3ba1f85c2c47b6e825a.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00362-_png_jpg.rf.fc8e603bcba3f3ba1f85c2c47b6e825a.jpg
data\traffic-signs\valid\images\PIC-00365-_png_jpg.rf.4a9650e42d5d489c40ac9732efbd37a8.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00365-_png_jpg.rf.4a9650e42d5d489c40ac9732efbd37a8.jpg
data\traffic-signs\valid\images\PIC-00366-_png_jpg.rf.591e5f4d674745741d6196bdb08d2466.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00366-_png_jpg.rf.591e5f4d674745741d6196bdb08d2466.jpg
data\traffic-signs\valid\images\PIC-00367-_png_jpg.rf.a69a0bbf32ab017cd52558b29cbc8002.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00367-_png_jpg.rf.a69a0bbf32ab017cd52558b29cbc8002.jpg
data\traffic-signs\valid\images\PIC-00368-_png_jpg.rf.a8baec181d4242a1ff642401c125da7c.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00368-_png_jpg.rf.a8baec181d4242a1ff642401c125da7c.jpg
data\traffic-signs\valid\images\PIC-00369-_png_jpg.rf.b93e305924aa107b0183a0e6f6eca44c.jpg,1,1,3,2,4,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00369-_png_jpg.rf.b93e305924aa107b0183a0e6f6eca44c.jpg
data\traffic-signs\valid\images\PIC-00370-_png_jpg.rf.570ec55bfa8bba1595ea464815624cf8.jpg,1,1,0,2,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00370-_png_jpg.rf.570ec55bfa8bba1595ea464815624cf8.jpg
data\traffic-signs\valid\images\PIC-00371-_png_jpg.rf.91278d2ffbd2cbe81f35d57e06497d0f.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00371-_png_jpg.rf.91278d2ffbd2cbe81f35d57e06497d0f.jpg
data\traffic-signs\valid\images\PIC-00372-_png_jpg.rf.da84194645608eecf400d9f3dc2d0824.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00372-_png_jpg.rf.da84194645608eecf400d9f3dc2d0824.jpg
data\traffic-signs\valid\images\PIC-00374-_png_jpg.rf.cd817a8ba692d553d2e9008dd22bb001.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00374-_png_jpg.rf.cd817a8ba692d553d2e9008dd22bb001.jpg
data\traffic-signs\valid\images\PIC-00375-_png_jpg.rf.e6166e3f1c07a4d63f87023fe610120a.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00375-_png_jpg.rf.e6166e3f1c07a4d63f87023fe610120a.jpg
data\traffic-signs\valid\images\PIC-00380-_png_jpg.rf.aadb8d3d3622b3f46f9b350d233e95ce.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00380-_png_jpg.rf.aadb8d3d3622b3f46f9b350d233e95ce.jpg
data\traffic-signs\valid\images\PIC-00382-_png_jpg.rf.f5190d7e7167b52bb1fa4f41d19493ac.jpg,1,1,0,2,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00382-_png_jpg.rf.f5190d7e7167b52bb1fa4f41d19493ac.jpg
data\traffic-signs\valid\images\PIC-00385-_png_jpg.rf.13fa9009f462f1855bd0a9762210ffdc.jpg,1,1,0,2,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00385-_png_jpg.rf.13fa9009f462f1855bd0a9762210ffdc.jpg
data\traffic-signs\valid\images\PIC-00387-_png_jpg.rf.7f410093aa18b4cf2cfe9ad68435b87b.jpg,2,1,0,3,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00387-_png_jpg.rf.7f410093aa18b4cf2cfe9ad68435b87b.jpg
data\traffic-signs\valid\images\PIC-00390-_png_jpg.rf.36220c5b09369484396904b29d1ea239.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00390-_png_jpg.rf.36220c5b09369484396904b29d1ea239.jpg
data\traffic-signs\valid\images\PIC-00393-_png_jpg.rf.1ec9744ff1285da71f7884a3dee39c2a.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00393-_png_jpg.rf.1ec9744ff1285da71f7884a3dee39c2a.jpg
data\traffic-signs\valid\images\PIC-00395-_png_jpg.rf.18f06987ce3c4e061439dd3fc7afb3c9.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00395-_png_jpg.rf.18f06987ce3c4e061439dd3fc7afb3c9.jpg
data\traffic-signs\valid\images\PIC-00396-_png_jpg.rf.21ac5625a6d220387890f1ed6a21e0e1.jpg,2,2,0,4,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00396-_png_jpg.rf.21ac5625a6d220387890f1ed6a21e0e1.jpg
data\traffic-signs\valid\images\PIC-00397-_png_jpg.rf.f23e0bff78a66c7e4cc4b27d9add0980.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00397-_png_jpg.rf.f23e0bff78a66c7e4cc4b27d9add0980.jpg
data\traffic-signs\valid\images\PIC-00399-_png_jpg.rf.97b414738310d32a4f4cfbe52806b968.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00399-_png_jpg.rf.97b414738310d32a4f4cfbe52806b968.jpg
data\traffic-signs\valid\images\PIC-00400-_png_jpg.rf.ba730d5bd07e309ec10b528dd5af3ef4.jpg,2,2,0,4,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00400-_png_jpg.rf.ba730d5bd07e309ec10b528dd5af3ef4.jpg
